DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Período:2024
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 16";152;102;143;3;902;340;313;703;762;782;817;756;1457;538;58;16497;85144;11216;143108;43075;30685;20189;969;2152;18249;8625;387737
"Semana 17";149;79;128;11;754;255;283;548;772;714;736;588;1350;518;81;14286;67394;8607;147946;39704;28812;19036;970;2341;17680;6728;360470
"Semana 18";66;69;107;8;585;177;233;405;559;594;506;469;1093;498;67;11098;54219;7995;134213;35450;22627;14148;916;2199;15581;5237;309119
"Semana 19";85;58;76;5;530;174;218;349;619;577;564;453;965;475;48;10349;50422;7192;146855;40651;23878;13243;1046;2482;15464;4201;320979
"Semana 20";51;36;90;18;522;135;197;219;612;538;401;417;929;574;41;8566;39154;6582;147363;36110;22174;15256;962;2059;12969;3921;299896
"Semana 21";42;34;77;24;405;153;188;264;625;459;361;337;1000;595;59;6941;31351;5858;126638;26530;15277;7787;696;1713;10442;3386;241242
"Semana 22";27;48;50;21;273;173;127;139;616;363;269;228;765;516;39;4550;20736;3671;80187;13444;6334;3038;357;1118;6757;2809;146655
"Semana 23";30;35;60;38;314;170;135;142;623;358;282;252;950;608;87;3747;16260;3401;59924;9962;5925;2446;255;959;6661;2208;115832
"Semana 24";42;25;57;34;342;222;79;101;524;334;238;232;964;592;64;2862;10892;2732;46055;8658;4577;2023;333;904;5012;1337;89235
"Semana 25";26;19;42;33;303;222;69;97;365;338;207;220;882;715;59;2005;8387;2327;39299;8051;4005;2304;297;937;3994;876;76079
"Semana 26";33;22;39;34;306;192;45;79;258;328;255;185;703;668;47;1549;6003;2161;31658;5456;2823;1805;215;647;3087;398;58996
"Semana 27";21;28;67;25;235;191;36;62;222;283;274;215;918;595;48;1272;3913;1725;20064;3483;1719;1053;121;637;2366;494;40067
"Semana 28";30;22;69;20;278;277;34;42;181;295;300;224;840;769;42;1301;3070;1336;12901;1704;900;440;53;472;2380;606;28586
"Semana 29";21;19;86;15;205;239;17;23;194;315;281;215;649;688;53;1071;2243;1394;10820;1324;498;336;52;309;1414;427;22908
"Semana 30";14;17;68;17;198;212;19;22;178;233;224;203;649;774;34;893;1613;1064;8908;1389;453;166;47;278;1699;376;19748
"Semana 31";25;25;58;12;201;233;16;36;129;187;209;201;498;574;45;728;1272;947;7566;1051;567;161;48;307;1575;464;17135
"Semana 32";26;22;60;26;249;293;17;18;125;250;264;214;472;420;30;682;1310;654;6977;1276;355;154;40;265;1096;548;15843
"Semana 33";13;25;85;19;174;224;15;26;98;218;231;227;474;506;46;539;1039;737;5225;923;310;128;31;192;853;451;12809
"Semana 34";14;26;67;18;200;188;17;19;89;169;200;178;469;349;25;580;1430;601;4874;764;240;94;26;150;835;405;12027
"Semana 35";22;21;78;18;203;159;12;24;88;114;175;180;393;322;31;429;1080;781;4049;513;175;99;23;156;728;289;10162
"Semana 36";13;21;73;15;168;78;22;29;65;141;145;150;340;289;32;421;1071;578;4034;642;155;104;26;159;704;200;9675
"Semana 37";10;27;107;10;150;62;15;33;63;120;166;164;417;233;59;424;1090;645;4221;829;158;133;27;130;698;295;10286
"Semana 38";12;28;98;10;177;100;14;13;43;136;179;142;450;244;45;424;1117;476;3703;650;109;141;35;125;700;231;9402
"Semana 39";11;31;77;8;168;71;17;25;34;120;157;113;397;187;40;382;1266;517;4098;904;152;114;30;111;652;228;9910
"Semana 40";11;54;82;14;170;51;18;23;43;106;133;135;393;165;49;324;1211;401;4204;908;211;133;41;105;556;209;9750
"Semana 41";8;68;72;14;139;74;14;29;39;94;165;118;349;129;72;297;1261;371;4227;790;191;113;72;86;594;274;9660
"Semana 42";10;124;107;11;118;32;23;20;44;128;166;126;370;104;76;361;1206;319;4747;973;203;131;77;68;583;284;10411
"Semana 43";11;142;102;10;140;44;28;15;39;138;142;126;320;105;78;352;1402;406;5004;1355;460;188;98;96;642;323;11766
"Semana 44";13;132;98;18;114;6;49;17;28;91;153;129;248;82;60;362;1280;308;5188;1801;574;173;125;228;708;357;12342
"Semana 45";2;92;62;9;40;-;100;22;24;70;117;118;215;73;36;183;713;310;4014;1544;1218;201;71;246;317;510;10307
"Total";5069;4829;8186;627;20448;9815;4647;10739;15221;13207;17349;14299;29879;17527;2412;231226;1688053;301996;2139398;652421;353177;205669;19234;41631;324843;278115;6410017
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
 disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise
 ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da
 dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas
 do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações
 com data de notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas.
 Dados de 2024 atualizados em 11/11/2024 às 04:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em novembro de 2024.
 
