DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Período:2022
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 47";258;61;147;1;103;5;115;49;85;232;126;88;144;98;37;261;636;104;889;226;27;16;673;275;1174;463;6293
"Semana 48";448;67;125;3;59;5;107;36;42;183;77;78;121;58;20;236;718;93;925;192;28;21;624;266;1226;516;6274
"Semana 49";362;73;140;2;81;3;93;58;25;142;81;89;141;60;30;243;862;73;871;237;37;28;498;279;1196;641;6345
"Semana 50";481;87;127;2;90;6;116;49;30;119;101;54;91;61;29;267;1064;123;1157;281;52;32;538;326;1466;779;7528
"Semana 51";568;74;156;-;80;2;114;36;26;107;69;52;111;68;46;300;1187;137;1122;210;44;9;432;297;1244;657;7148
"Semana 52";596;75;163;-;72;8;110;42;28;106;71;59;107;42;58;311;1272;157;1185;261;60;19;304;253;1146;693;7198
"Total";14252;3425;5356;62;5912;290;20846;6850;31697;42737;42177;28839;16106;33720;5244;35724;89041;11138;350891;156187;85274;67232;26328;35341;206548;72660;1393877
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados
 disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise
 ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da
 dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas
 do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações
 com data de notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas.
 Dados de 2024 atualizados em 11/11/2024 às 04:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em novembro de 2024.
 
