Semana epidem. notificação;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;RJ;SP;PR;SC;RS;MS;MT;GO;DF
Semana 23;83.0;49.0;73.0;3;86.0;17.0;46.0;53.0;220.0;349.0;112.0;157.0;118.0;115.0;118.0;1334.0;6299.0;1101.0;4735.0;4754.0;4582.0;1389.0;860.0;608.0;1049.0;696.0
Semana 24;64.0;39.0;62.0;1;139.0;13.0;64.0;92.0;234.0;532.0;130.0;137.0;133.0;132.0;117.0;1534.0;5856.0;1443.0;4159.0;3491.0;4238.0;1228.0;542.0;528.0;1100.0;738.0
Semana 25;88.0;39.0;76.0;5;91.0;17.0;62.0;62.0;190.0;466.0;142.0;167.0;125.0;160.0;106.0;1302.0;4189.0;1290.0;3152.0;2296.0;2960.0;888.0;414.0;486.0;873.0;608.0
Semana 26;66.0;32.0;66.0;2;78.0;19.0;36.0;59.0;124.0;345.0;120.0;137.0;153.0;103.0;86.0;1214.0;2832.0;990.0;1972.0;1744.0;2147.0;384.0;375.0;411.0;758.0;468.0
Semana 27;45.0;45.0;114.0;3;73.0;15.0;29.0;106.0;155.0;297.0;109.0;123.0;132.0;109.0;103.0;1225.0;1889.0;761.0;1445.0;1333.0;1956.0;471.0;389.0;347.0;614.0;402.0
Semana 28;55.0;35.0;97.0;5;52.0;19.0;18.0;67.0;159.0;371.0;112.0;111.0;158.0;142.0;109.0;1308.0;1583.0;776.0;1171.0;1024.0;1404.0;319.0;308.0;337.0;574.0;473.0
Semana 29;51.0;32.0;95.0;-;70.0;22.0;31.0;45.0;96.0;274.0;119.0;89.0;171.0;113.0;89.0;1336.0;1353.0;559.0;924.0;726.0;880.0;178.0;215.0;245.0;587.0;400.0
Semana 30;31.0;29.0;96.0;5;62.0;20.0;19.0;47.0;82.0;277.0;99.0;100.0;116.0;137.0;88.0;1045.0;1036.0;485.0;865.0;644.0;618.0;112.0;180.0;223.0;501.0;351.0
Semana 31;22.0;31.0;90.0;3;71.0;38.0;23.0;63.0;88.0;246.0;109.0;95.0;156.0;112.0;54.0;999.0;1011.0;707.0;743.0;497.0;483.0;112.0;122.0;238.0;563.0;454.0
Semana 32;49.0;28.0;33.0;5;71.0;35.0;16.0;63.0;67.0;281.0;90.0;77.0;122.0;97.0;71.0;903.0;896.0;625.0;714.0;527.0;374.0;105.0;142.0;202.0;567.0;452.0
Semana 33;41.0;32.0;56.0;21;86.0;61.0;21.0;43.0;54.0;222.0;78.0;98.0;161.0;106.0;84.0;817.0;788.0;443.0;687.0;467.0;368.0;79.0;113.0;176.0;594.0;384.0
Semana 34;35.0;34.0;72.0;13;91.0;56.0;11.0;31.0;50.0;292.0;76.0;73.0;134.0;100.0;77.0;752.0;728.0;388.0;781.0;417.0;279.0;62.0;72.0;159.0;619.0;451.0
Semana 35;22.0;38.0;61.0;27;68.0;81.0;15.0;35.0;48.0;214.0;67.0;61.0;110.0;76.0;58.0;685.0;674.0;353.0;564.0;419.0;247.0;43.0;61.0;153.0;640.0;375.0
Semana 36;15.0;26.0;54.0;9;40.0;71.0;7.0;25.0;47.0;129.0;62.0;81.0;84.0;79.0;40.0;563.0;578.0;242.0;557.0;324.0;123.0;25.0;39.0;111.0;577.0;416.0
Semana 37;26.0;19.0;83.0;14;79.0;56.0;18.0;28.0;42.0;129.0;75.0;80.0;127.0;76.0;33.0;609.0;766.0;358.0;725.0;372.0;154.0;30.0;69.0;143.0;812.0;453.0
Semana 38;25.0;49.0;74.0;15;48.0;62.0;10.0;26.0;37.0;113.0;102.0;65.0;118.0;67.0;50.0;444.0;854.0;421.0;756.0;394.0;194.0;32.0;66.0;104.0;796.0;368.0
Semana 39;37.0;30.0;68.0;12;49.0;38.0;15.0;30.0;24.0;87.0;100.0;96.0;111.0;98.0;42.0;369.0;817.0;400.0;723.0;370.0;171.0;26.0;60.0;127.0;760.0;375.0
Semana 40;30.0;45.0;48.0;9;55.0;49.0;8.0;20.0;25.0;89.0;108.0;90.0;114.0;76.0;39.0;362.0;989.0;406.0;838.0;467.0;133.0;39.0;53.0;127.0;791.0;352.0
Semana 41;19.0;45.0;57.0;2;27.0;15.0;3.0;19.0;23.0;66.0;86.0;67.0;122.0;72.0;27.0;317.0;901.0;281.0;656.0;392.0;107.0;65.0;39.0;126.0;676.0;326.0
Semana 42;65.0;58.0;69.0;5;50.0;18.0;16.0;28.0;32.0;79.0;103.0;82.0;151.0;55.0;42.0;419.0;1211.0;440.0;886.0;553.0;143.0;40.0;81.0;142.0;783.0;337.0
Semana 43;75.0;71.0;70.0;1;73.0;16.0;13.0;10.0;28.0;89.0;79.0;72.0;98.0;70.0;28.0;322.0;1431.0;440.0;937.0;507.0;137.0;108.0;87.0;150.0;789.0;290.0
Semana 44;43.0;72.0;71.0;1;30.0;14.0;9.0;13.0;17.0;56.0;85.0;61.0;97.0;68.0;29.0;311.0;1328.0;384.0;803.0;440.0;104.0;64.0;57.0;161.0;660.0;291.0
Semana 45;52.0;128.0;80.0;2;36.0;23.0;22.0;19.0;12.0;54.0;128.0;87.0;159.0;61.0;23.0;321.0;2377.0;586.0;1187.0;866.0;153.0;122.0;54.0;185.0;968.0;395.0
Semana 46;27.0;118.0;115.0;3;55.0;23.0;20.0;43.0;25.0;64.0;108.0;84.0;87.0;63.0;20.0;281.0;2399.0;583.0;1074.0;823.0;153.0;68.0;69.0;185.0;899.0;505.0
Semana 47;26.0;321.0;92.0;3;50.0;12.0;25.0;19.0;42.0;51.0;98.0;101.0;152.0;96.0;24.0;370.0;3309.0;776.0;1282.0;1094.0;134.0;150.0;63.0;199.0;991.0;691.0
Semana 48;34.0;210.0;131.0;2;61.0;16.0;27.0;18.0;24.0;48.0;105.0;87.0;121.0;72.0;15.0;363.0;4455.0;1155.0;1677.0;1231.0;187.0;58.0;61.0;252.0;1213.0;1040.0
Semana 49;42.0;331.0;121.0;2;67.0;12.0;21.0;28.0;21.0;49.0;65.0;78.0;133.0;56.0;15.0;332.0;5135.0;1185.0;1682.0;1354.0;222.0;78.0;70.0;268.0;1203.0;1344.0
Semana 50;48.0;367.0;196.0;6;57.0;27.0;18.0;15.0;48.0;53.0;98.0;101.0;166.0;54.0;21.0;449.0;6642.0;1782.0;2256.0;2453.0;229.0;124.0;70.0;279.0;1435.0;1994.0
Semana 51;37.0;518.0;302.0;4;48.0;7.0;32.0;11.0;25.0;38.0;104.0;68.0;124.0;54.0;13.0;367.0;7575.0;1856.0;2619.0;2491.0;449.0;251.0;68.0;267.0;1772.0;3190.0
Semana 52;35.0;601.0;330.0;2;49.0;26.0;24.0;12.0;28.0;45.0;95.0;72.0;110.0;42.0;14.0;280.0;8159.0;1999.0;3485.0;3059.0;707.0;269.0;74.0;244.0;1655.0;4020.0
